,l,summ
0,30,0.0
1,30,2157.352305554851
2,30,-66845.19244779284
3,30,629660.531922213
4,30,-2832637.800902309
5,30,-1032539366.1718959
6,30,155993239200.69104
7,30,156022041271.92862
8,30,155991423154.40088
9,30,153501802581.11584
10,30,822597928059.4955
11,30,822607084126.8336
12,30,822602927280.3918
13,30,822604526428.8705
14,30,822603998422.4724
15,30,822604149698.045
16,30,822604111732.2996
17,30,822604120148.2832
18,30,822604118488.3966
19,30,822604118781.5732
20,30,822604118734.9313
21,30,822604118741.65
22,30,822604118740.7695
23,30,822604118740.875
24,30,822604118740.8634
25,30,822604118740.8646
26,30,822604118740.8645
27,30,822604118740.8645
28,30,822604118740.8645
29,30,822604118740.8645
